CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
28192000,GRIFFITH ST,BANCROFT AVE,,,,BANCROFT AVE intersection,,15786
20093000,GRIFFITH ST,CARROLL AVE,,,,CARROLL AVE intersection,,15788
20098000,GRIFFITH ST,CAMERON WAY,,,,CAMERON WAY intersection,,15789
20105000,GRIFFITH ST,FITZGERALD AVE,,,,FITZGERALD AVE intersection,,15791
20096000,GRIFFITH ST,GILMAN AVE,,,,GILMAN AVE intersection,,15793
20103000,GRIFFITH ST,INGERSON AVE,,,,INGERSON AVE intersection,,15794
20435000,GRIFFITH ST,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,15796
23045000,GRIJALVA DR,JUAN BAUTISTA CIR,,,,JUAN BAUTISTA CIR intersection,,15797
33483000,GRIJALVA DR,GONZALEZ DR,,,,GONZALEZ DR intersection,,15799
22564000,GRIJALVA DR,GARCES DR,,,,GARCES DR intersection,,15801
24501000,GROTE PL,FOLSOM ST,,,,FOLSOM ST intersection,,15802
50035000,GROTE PL,END,,,,END intersection,,15804
24429000,GROVE ST,08TH ST \ HYDE ST \ MARKET ST,,,,08TH ST \ HYDE ST \ MARKET ST intersection,,15805
24434000,GROVE ST,LARKIN ST,,,,LARKIN ST intersection,,15807
24437000,GROVE ST,DR CARLTON B GOODLETT PL \ POLK ST,,,,DR CARLTON B GOODLETT PL \ POLK ST intersection,,15809
24459000,GROVE ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,15811
24461000,GROVE ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,15813
25939000,GROVE ST,GOUGH ST,,,,GOUGH ST intersection,,15815
25928000,GROVE ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,15817
25934000,GROVE ST,LAGUNA ST,,,,LAGUNA ST intersection,,15819
25938000,GROVE ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,15821
54030000,GROVE ST,BANNEKER WAY,,,,BANNEKER WAY intersection,,15823
25954000,GROVE ST,WEBSTER ST,,,,WEBSTER ST intersection,,15825
25957000,GROVE ST,FILLMORE ST,,,,FILLMORE ST intersection,,15827
26040000,GROVE ST,STEINER ST,,,,STEINER ST intersection,,15829
26051000,GROVE ST,SCOTT ST,,,,SCOTT ST intersection,,15830
26056000,GROVE ST,DIVISADERO ST,,,,DIVISADERO ST intersection,,15832
26060000,GROVE ST,BRODERICK ST,,,,BRODERICK ST intersection,,15834
26352000,GROVE ST,BAKER ST,,,,BAKER ST intersection,,15836
26355000,GROVE ST,LYON ST,,,,LYON ST intersection,,15838
26371000,GROVE ST,CENTRAL AVE,,,,CENTRAL AVE intersection,,15840
26377000,GROVE ST,MASONIC AVE,,,,MASONIC AVE intersection,,15842
26380000,GROVE ST,ASHBURY ST,,,,ASHBURY ST intersection,,15844
26454000,GROVE ST,CLAYTON ST,,,,CLAYTON ST intersection,,15846
26424000,GROVE ST,COLE ST,,,,COLE ST intersection,,15848
26439000,GROVE ST,SHRADER ST,,,,SHRADER ST intersection,,15850
30757000,GUERRERO ST,LAGUNA ST \ MARKET ST,,,,LAGUNA ST \ MARKET ST intersection,,15851
25860000,GUERRERO ST,DUBOCE AVE,,,,DUBOCE AVE intersection,,15853
25844000,GUERRERO ST,CLINTON PARK,,,,CLINTON PARK intersection,,15856
25843000,GUERRERO ST,BROSNAN ST,,,,BROSNAN ST intersection,,15858
25835000,GUERRERO ST,14TH ST,,,,14TH ST intersection,,15860
33026000,GUERRERO ST,CLINTON PARK,,,,CLINTON PARK intersection,,15862
54191000,GUERRERO ST,ROSA PARKS LN,,,,ROSA PARKS LN intersection,,15865
25701000,GUERRERO ST,15TH ST,,,,15TH ST intersection,,15867
25698000,GUERRERO ST,16TH ST,,,,16TH ST intersection,,15870
25700000,GUERRERO ST,CAMP ST,,,,CAMP ST intersection,,15873
25690000,GUERRERO ST,17TH ST,,,,17TH ST intersection,,15875
25677000,GUERRERO ST,18TH ST,,,,18TH ST intersection,,15878
25689000,GUERRERO ST,DORLAND ST,,,,DORLAND ST intersection,,15880
25676000,GUERRERO ST,19TH ST,,,,19TH ST intersection,,15883
25671000,GUERRERO ST,20TH ST,,,,20TH ST intersection,,15886
25675000,GUERRERO ST,CUMBERLAND ST,,,,CUMBERLAND ST intersection,,15888
33034000,GUERRERO ST,LIBERTY ST,,,,LIBERTY ST intersection,,15891
25627000,GUERRERO ST,21ST ST,,,,21ST ST intersection,,15893
24154000,GUERRERO ST,LIBERTY ST,,,,LIBERTY ST intersection,,15895
24120000,GUERRERO ST,HILL ST,,,,HILL ST intersection,,15898
25623000,GUERRERO ST,22ND ST,,,,22ND ST intersection,,15900
25622000,GUERRERO ST,ALVARADO ST,,,,ALVARADO ST intersection,,15903
25607000,GUERRERO ST,23RD ST,,,,23RD ST intersection,,15905
25606000,GUERRERO ST,ELIZABETH ST,,,,ELIZABETH ST intersection,,15908
25603000,GUERRERO ST,24TH ST,,,,24TH ST intersection,,15910
25602000,GUERRERO ST,25TH ST,,,,25TH ST intersection,,15913
21898000,GUERRERO ST,26TH ST,,,,26TH ST intersection,,15916
21897000,GUERRERO ST,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,15919
21354000,GUERRERO ST,27TH ST,,,,27TH ST intersection,,15922
21353000,GUERRERO ST,DUNCAN ST,,,,DUNCAN ST intersection,,15925
21351000,GUERRERO ST,28TH ST \ SAN JOSE AVE,,,,28TH ST \ SAN JOSE AVE intersection,,15928
54047000,GUERRERO ST,END,,,,END intersection,,15930
21496000,GUTTENBERG ST,MISSION ST,,,,MISSION ST intersection,,15931
21495000,GUTTENBERG ST,MORSE ST,,,,MORSE ST intersection,,15933
21494000,GUTTENBERG ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,15935
21465000,GUTTENBERG ST,PRETOR WAY,,,,PRETOR WAY intersection,,15937
21461000,GUTTENBERG ST,HANOVER ST,,,,HANOVER ST intersection,,15939
54037000,GUTTENBERG ST,NADELL CT,,,,NADELL CT intersection,,15941
54039000,GUTTENBERG ST,LINCOLN CT,,,,LINCOLN CT intersection,,15943
33603000,GUTTENBERG ST,BELLEVUE AVE,,,,BELLEVUE AVE intersection,,15945
24500000,GUY PL,01ST ST,,,,01ST ST intersection,,15946
24521000,GUY PL,LANSING ST,,,,LANSING ST intersection,,15948
54232000,HABITAT TER,CAPITOL AVE,,,,CAPITOL AVE intersection,,15949
54233000,HABITAT TER,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,15951
27260000,HAGIWARA TEA GARDEN DR,JOHN F KENNEDY DR \ MUSIC CONCOURSE DR,,,,JOHN F KENNEDY DR \ MUSIC CONCOURSE DR intersection,,15952
27256000,HAGIWARA TEA GARDEN DR,MUSIC CONCOURSE DR,,,,MUSIC CONCOURSE DR intersection,,15954
32854000,HAGIWARA TEA GARDEN DR,MUSIC CONCOURSE ACCESS RD,,,,MUSIC CONCOURSE ACCESS RD intersection,,15956
32853000,HAGIWARA TEA GARDEN DR,MUSIC CONCOURSE ACCESS RD,,,,MUSIC CONCOURSE ACCESS RD intersection,,15958
27265000,HAGIWARA TEA GARDEN DR,MARTIN LUTHER KING JR DR,,,,MARTIN LUTHER KING JR DR intersection,,15960
20393000,HAHN ST,LELAND AVE,,,,LELAND AVE intersection,,15961
20416000,HAHN ST,VISITACION AVE,,,,VISITACION AVE intersection,,15963
20409000,HAHN ST,SUNNYDALE AVE,,,,SUNNYDALE AVE intersection,,15965
20414000,HAHN ST,BLYTHDALE AVE,,,,BLYTHDALE AVE intersection,,15967
20406000,HAHN ST,SUNRISE WAY,,,,SUNRISE WAY intersection,,15969
30753000,HAIGHT ST,GOUGH ST \ MARKET ST,,,,GOUGH ST \ MARKET ST intersection,,15970
24410000,HAIGHT ST,GOUGH ST,,,,GOUGH ST intersection,,15972
25857000,HAIGHT ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,15974
25867000,HAIGHT ST,LAGUNA ST,,,,LAGUNA ST intersection,,15976
25869000,HAIGHT ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,15978
25898000,HAIGHT ST,WEBSTER ST,,,,WEBSTER ST intersection,,15980
25899000,HAIGHT ST,FILLMORE ST,,,,FILLMORE ST intersection,,15982
25993000,HAIGHT ST,STEINER ST,,,,STEINER ST intersection,,15984
25999000,HAIGHT ST,PIERCE ST,,,,PIERCE ST intersection,,15986
26025000,HAIGHT ST,SCOTT ST,,,,SCOTT ST intersection,,15988
26026000,HAIGHT ST,DIVISADERO ST,,,,DIVISADERO ST intersection,,15990
26034000,HAIGHT ST,BRODERICK ST,,,,BRODERICK ST intersection,,15992
26033000,HAIGHT ST,BAKER ST \ BUENA VISTA AVE,,,,BAKER ST \ BUENA VISTA AVE intersection,,15994
26323000,HAIGHT ST,LYON ST,,,,LYON ST intersection,,15996
26322000,HAIGHT ST,BUENA VISTA AVE,,,,BUENA VISTA AVE intersection,,15998
26340000,HAIGHT ST,CENTRAL AVE,,,,CENTRAL AVE intersection,,16000
26342000,HAIGHT ST,MASONIC AVE,,,,MASONIC AVE intersection,,16002
26338000,HAIGHT ST,ASHBURY ST,,,,ASHBURY ST intersection,,16004
26409000,HAIGHT ST,CLAYTON ST,,,,CLAYTON ST intersection,,16006
26412000,HAIGHT ST,BELVEDERE ST,,,,BELVEDERE ST intersection,,16008
26417000,HAIGHT ST,COLE ST,,,,COLE ST intersection,,16010
26414000,HAIGHT ST,COLE ST,,,,COLE ST intersection,,16012
26430000,HAIGHT ST,SHRADER ST,,,,SHRADER ST intersection,,16014
26434000,HAIGHT ST,STANYAN ST,,,,STANYAN ST intersection,,16016
20771000,HALE ST,SAN BRUNO AVE,,,,SAN BRUNO AVE intersection,,16017
20772000,HALE ST,BARNEVELD AVE,,,,BARNEVELD AVE intersection,,16019
20907000,HALE ST,MERRILL ST,,,,MERRILL ST intersection,,16021
20910000,HALE ST,BOYLSTON ST,,,,BOYLSTON ST intersection,,16023
20925000,HALE ST,BOWDOIN ST,,,,BOWDOIN ST intersection,,16025
34133000,HALIBUT CT,AVENUE B,,,,AVENUE B intersection,,16026
53044000,HALIBUT CT,END,,,,END intersection,,16028
24275000,HALLAM ST,FOLSOM ST,,,,FOLSOM ST intersection,,16029
24259000,HALLAM ST,BRUSH PL,,,,BRUSH PL intersection,,16031
50018000,HALLAM ST,END,,,,END intersection,,16033
24690000,HALLECK ST,FRONT ST,,,,FRONT ST intersection,,16034
24684000,HALLECK ST,BATTERY ST,,,,BATTERY ST intersection,,16036
24689000,HALLECK ST,SANSOME ST,,,,SANSOME ST intersection,,16038
24730000,HALLECK ST,LEIDESDORFF ST,,,,LEIDESDORFF ST intersection,,16040
51273000,HALLECK ST,LINCOLN BLVD,,,,LINCOLN BLVD intersection,,16041
51272000,HALLECK ST,END,,,,END intersection,,16043
51587000,HALLECK ST,FRENCH CT,,,,FRENCH CT intersection,,16045
51590000,HALLECK ST,YOUNG ST,,,,YOUNG ST intersection,,16047
51233000,HALLECK ST,END,,,,END intersection,,16049
34103000,HALYBURTON CT,13TH TI ST,,,,13TH TI ST intersection,,16050
53030000,HALYBURTON CT,END,,,,END intersection,,16052
33390000,HAMERTON AVE,BOSWORTH ST,,,,BOSWORTH ST intersection,,16053
51059000,HAMERTON AVE,END,,,,END intersection,,16055
21979000,HAMERTON AVE,MANGELS AVE,,,,MANGELS AVE intersection,,16057
20923000,HAMILTON ST,SILVER AVE,,,,SILVER AVE intersection,,16058
20922000,HAMILTON ST,SILLIMAN ST,,,,SILLIMAN ST intersection,,16060
20921000,HAMILTON ST,FELTON ST,,,,FELTON ST intersection,,16062
20914000,HAMILTON ST,BURROWS ST,,,,BURROWS ST intersection,,16064
20891000,HAMILTON ST,BACON ST,,,,BACON ST intersection,,16066
20869000,HAMILTON ST,WAYLAND ST,,,,WAYLAND ST intersection,,16068
20863000,HAMILTON ST,WOOLSEY ST,,,,WOOLSEY ST intersection,,16070
20867000,HAMILTON ST,DWIGHT ST,,,,DWIGHT ST intersection,,16072
20847000,HAMILTON ST,MANSELL ST,,,,MANSELL ST intersection,,16073
20844000,HAMILTON ST,DELTA ST,,,,DELTA ST intersection,,16075
25505000,HAMLIN ST,GREEN ST,,,,GREEN ST intersection,,16076
50199000,HAMLIN ST,END,,,,END intersection,,16078
24193000,HAMPSHIRE ST,15TH ST,,,,15TH ST intersection,,16079
52182000,HAMPSHIRE ST,END,,,,END intersection,,16081
24195000,HAMPSHIRE ST,ALAMEDA ST,,,,ALAMEDA ST intersection,,16083
33040000,HAMPSHIRE ST,16TH ST,,,,16TH ST intersection,,16084
52183000,HAMPSHIRE ST,END,,,,END intersection,,16086
24025000,HAMPSHIRE ST,17TH ST,,,,17TH ST intersection,,16088
24021000,HAMPSHIRE ST,MARIPOSA ST,,,,MARIPOSA ST intersection,,16090
24010000,HAMPSHIRE ST,18TH ST,,,,18TH ST intersection,,16092
24005000,HAMPSHIRE ST,19TH ST,,,,19TH ST intersection,,16094
24002000,HAMPSHIRE ST,20TH ST,,,,20TH ST intersection,,16096
23968000,HAMPSHIRE ST,21ST ST,,,,21ST ST intersection,,16098
23966000,HAMPSHIRE ST,22ND ST,,,,22ND ST intersection,,16100
23965000,HAMPSHIRE ST,23RD ST,,,,23RD ST intersection,,16102
23954000,HAMPSHIRE ST,24TH ST,,,,24TH ST intersection,,16104
23950000,HAMPSHIRE ST,25TH ST,,,,25TH ST intersection,,16106
23948000,HAMPSHIRE ST,26TH ST,,,,26TH ST intersection,,16108
21120000,HAMPSHIRE ST,CESAR CHAVEZ ON RAMP,,,,CESAR CHAVEZ ON RAMP intersection,,16110
33287000,HAMPSHIRE ST,CESAR CHAVEZ ON RAMP \ CESAR CHAVEZ ST,,,,CESAR CHAVEZ ON RAMP \ CESAR CHAVEZ ST intersection,,16111
20835000,HAMPSHIRE ST,PERALTA AVE,,,,PERALTA AVE intersection,,16113
25711000,HANCOCK ST,CHURCH ST,,,,CHURCH ST intersection,,16114
25719000,HANCOCK ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,16116
25790000,HANCOCK ST,NOE ST,,,,NOE ST intersection,,16118
54152000,HANGAH ST,END,,,,END intersection,,16119
54153000,HANGAH ST,CLAY ST,,,,CLAY ST intersection,,16121
21418000,HANOVER ST,POPE ST,,,,POPE ST intersection,,16122
33355000,HANOVER ST,UNNAMED 069,,,,UNNAMED 069 intersection,,16124
21449000,HANOVER ST,ALLISON ST,,,,ALLISON ST intersection,,16126
33356000,HANOVER ST,UNNAMED 068,,,,UNNAMED 068 intersection,,16128
21457000,HANOVER ST,WATT AVE,,,,WATT AVE intersection,,16130
21460000,HANOVER ST,CONCORD ST,,,,CONCORD ST intersection,,16132
21461000,HANOVER ST,GUTTENBERG ST,,,,GUTTENBERG ST intersection,,16134
21493000,HANOVER ST,LOWELL ST,,,,LOWELL ST intersection,,16136
51019000,HANOVER ST,WHITTIER ST,,,,WHITTIER ST intersection,,16138
20060000,HARBOR RD,NORTHRIDGE RD,,,,NORTHRIDGE RD intersection,,16139
20061000,HARBOR RD,INGALLS ST,,,,INGALLS ST intersection,,16141
20086000,HARBOR RD,BERTHA LN,,,,BERTHA LN intersection,,16143
54238000,HARDIE AVE,END,,,,END intersection,,16144
51268000,HARDIE AVE,FUNSTON AVE \ MORAGA AVE,,,,FUNSTON AVE \ MORAGA AVE intersection,,16146
24723000,HARDIE PL,KEARNY ST,,,,KEARNY ST intersection,,16147
50228000,HARDIE PL,END,,,,END intersection,,16149
23325000,HARDING RD,SKYLINE BLVD,,,,SKYLINE BLVD intersection,,16150
51165000,HARDING RD,END,,,,END intersection,,16152
20168000,HARE ST,MIDDLE POINT RD,,,,MIDDLE POINT RD intersection,,16153
50757000,HARE ST,END,,,,END intersection,,16155
20556000,HARKNESS AVE,SAN BRUNO AVE,,,,SAN BRUNO AVE intersection,,16156
20557000,HARKNESS AVE,GIRARD ST,,,,GIRARD ST intersection,,16158
20558000,HARKNESS AVE,BRUSSELS ST,,,,BRUSSELS ST intersection,,16160
20580000,HARKNESS AVE,GOETTINGEN ST,,,,GOETTINGEN ST intersection,,16162
20583000,HARKNESS AVE,SPARTA ST,,,,SPARTA ST intersection,,16164
20584000,HARKNESS AVE,BISHOP ST,,,,BISHOP ST intersection,,16166
20592000,HARKNESS AVE,RUTLAND ST,,,,RUTLAND ST intersection,,16168
20593000,HARKNESS AVE,ALDER ST,,,,ALDER ST intersection,,16170
20841000,HARKNESS AVE,MILL ST,,,,MILL ST intersection,,16172
20837000,HARKNESS AVE,DELTA ST,,,,DELTA ST intersection,,16174
50227000,HARLAN PL,MARK LN,,,,MARK LN intersection,,16175
50226000,HARLAN PL,END,,,,END intersection,,16177
24738000,HARLAN PL,GRANT AVE,,,,GRANT AVE intersection,,16179
50221000,HARLAN PL,END,,,,END intersection,,16181
25143000,HARLEM ALY,OFARRELL ST,,,,OFARRELL ST intersection,,16182
50271000,HARLEM ALY,END,,,,END intersection,,16184
25728000,HARLOW ST,16TH ST,,,,16TH ST intersection,,16185
50688000,HARLOW ST,END,,,,END intersection,,16187
20259000,HARNEY WAY,JAMESTOWN AVE,,,,JAMESTOWN AVE intersection,,16188
33210000,HARNEY WAY,EXECUTIVE PARK BLVD,,,,EXECUTIVE PARK BLVD intersection,,16190
20257000,HARNEY WAY,ALANA WAY \ THOMAS MELLON DR,,,,ALANA WAY \ THOMAS MELLON DR intersection,,16192
50852000,HARNEY WAY,END,,,,END intersection,,16194
51092000,HAROLD AVE,END,,,,END intersection,,16195
22208000,HAROLD AVE,GRAFTON AVE,,,,GRAFTON AVE intersection,,16197
22219000,HAROLD AVE,HOLLOWAY AVE,,,,HOLLOWAY AVE intersection,,16199
22218000,HAROLD AVE,BRUCE AVE,,,,BRUCE AVE intersection,,16201
22217000,HAROLD AVE,OCEAN AVE,,,,OCEAN AVE intersection,,16203
21908000,HARPER ST,30TH ST,,,,30TH ST intersection,,16204
21888000,HARPER ST,RANDALL ST,,,,RANDALL ST intersection,,16206
21889000,HARPER ST,LAIDLEY ST,,,,LAIDLEY ST intersection,,16208
34150000,HARRIET LN,HEALY AVE \ NORTH GATE RD,,,,HEALY AVE \ NORTH GATE RD intersection,,16209
53060000,HARRIET LN,END,,,,END intersection,,16211
24281000,HARRIET ST,HOWARD ST,,,,HOWARD ST intersection,,16212
23924000,HARRIET ST,FOLSOM ST,,,,FOLSOM ST intersection,,16214
23921000,HARRIET ST,HARRISON ST,,,,HARRISON ST intersection,,16216
23918000,HARRIET ST,AHERN WAY,,,,AHERN WAY intersection,,16218
23917000,HARRIET ST,BRYANT ST,,,,BRYANT ST intersection,,16220
23891000,HARRIET ST,BRANNAN ST,,,,BRANNAN ST intersection,,16222
50006000,HARRIET ST,END,,,,END intersection,,16224
21771000,HARRINGTON ST,MISSION ST,,,,MISSION ST intersection,,16225
32970000,HARRINGTON ST,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,16227
50291000,HARRIS PL,END,,,,END intersection,,16228
26732000,HARRIS PL,LAGUNA ST,,,,LAGUNA ST intersection,,16230
51361000,HARRISON BLVD,KOBBE AVE,,,,KOBBE AVE intersection,,16231
51366000,HARRISON BLVD,HITCHCOCK ST,,,,HITCHCOCK ST intersection,,16233
51368000,HARRISON BLVD,CENTRAL MAGAZINE RD \ WASHINGTON BLVD,,,,CENTRAL MAGAZINE RD \ WASHINGTON BLVD intersection,,16235
23604000,HARRISON ST,THE EMBARCADERO,,,,THE EMBARCADERO intersection,,16236
23606000,HARRISON ST,SPEAR ST,,,,SPEAR ST intersection,,16238
23603000,HARRISON ST,MAIN ST,,,,MAIN ST intersection,,16240
24495000,HARRISON ST,BEALE ST,,,,BEALE ST intersection,,16242
24509000,HARRISON ST,FREMONT ST \ I-80 W OFF RAMP,,,,FREMONT ST \ I-80 W OFF RAMP intersection,,16244
24494000,HARRISON ST,01ST ST \ I-80 E ON RAMP,,,,01ST ST \ I-80 E ON RAMP intersection,,16246
30018000,HARRISON ST,ESSEX ST \ I-80 E ON RAMP,,,,ESSEX ST \ I-80 E ON RAMP intersection,,16248
24510000,HARRISON ST,02ND ST,,,,02ND ST intersection,,16250
24512000,HARRISON ST,VASSAR PL,,,,VASSAR PL intersection,,16252
24515000,HARRISON ST,HAWTHORNE ST,,,,HAWTHORNE ST intersection,,16254
24513000,HARRISON ST,03RD ST,,,,03RD ST intersection,,16256
24579000,HARRISON ST,LAPU-LAPU ST,,,,LAPU-LAPU ST intersection,,16258
23906000,HARRISON ST,04TH ST \ I-80 W ON RAMP,,,,04TH ST \ I-80 W ON RAMP intersection,,16260
23908000,HARRISON ST,05TH ST \ I-80 W OFF RAMP,,,,05TH ST \ I-80 W OFF RAMP intersection,,16262
23931000,HARRISON ST,MERLIN ST,,,,MERLIN ST intersection,,16264
23930000,HARRISON ST,OAK GROVE ST,,,,OAK GROVE ST intersection,,16266
23932000,HARRISON ST,MORRIS ST,,,,MORRIS ST intersection,,16268
23919000,HARRISON ST,06TH ST,,,,06TH ST intersection,,16270
23921000,HARRISON ST,HARRIET ST,,,,HARRIET ST intersection,,16272
23925000,HARRISON ST,COLUMBIA SQUARE ST,,,,COLUMBIA SQUARE ST intersection,,16274
23928000,HARRISON ST,SHERMAN ST,,,,SHERMAN ST intersection,,16276
23929000,HARRISON ST,07TH ST,,,,07TH ST intersection,,16278
50077000,HARRISON ST,I-80 W ON RAMP,,,,I-80 W ON RAMP intersection,,16280
24251000,HARRISON ST,LANGTON ST,,,,LANGTON ST intersection,,16282
24252000,HARRISON ST,CHESLEY ST,,,,CHESLEY ST intersection,,16284
24256000,HARRISON ST,BERWICK PL,,,,BERWICK PL intersection,,16286
24201000,HARRISON ST,08TH ST,,,,08TH ST intersection,,16288
24210000,HARRISON ST,GORDON ST,,,,GORDON ST intersection,,16290
24209000,HARRISON ST,09TH ST,,,,09TH ST intersection,,16292
24230000,HARRISON ST,DORE ST,,,,DORE ST intersection,,16294
24206000,HARRISON ST,10TH ST,,,,10TH ST intersection,,16296
24229000,HARRISON ST,11TH ST,,,,11TH ST intersection,,16298
24240000,HARRISON ST,NORFOLK ST,,,,NORFOLK ST intersection,,16300
24237000,HARRISON ST,12TH ST,,,,12TH ST intersection,,16302
24228000,HARRISON ST,13TH ST,,,,13TH ST intersection,,16304
33033000,HARRISON ST,14TH ST,,,,14TH ST intersection,,16306
24227000,HARRISON ST,ALAMEDA ST,,,,ALAMEDA ST intersection,,16308
24224000,HARRISON ST,15TH ST,,,,15TH ST intersection,,16310
24223000,HARRISON ST,15TH ST,,,,15TH ST intersection,,16312
24055000,HARRISON ST,16TH ST \ TREAT AVE,,,,16TH ST \ TREAT AVE intersection,,16314
24054000,HARRISON ST,17TH ST,,,,17TH ST intersection,,16316
24052000,HARRISON ST,MARIPOSA ST,,,,MARIPOSA ST intersection,,16318
24051000,HARRISON ST,18TH ST,,,,18TH ST intersection,,16320
24040000,HARRISON ST,18TH ST,,,,18TH ST intersection,,16322
24039000,HARRISON ST,19TH ST,,,,19TH ST intersection,,16324
24038000,HARRISON ST,19TH ST,,,,19TH ST intersection,,16326
24037000,HARRISON ST,MISTRAL ST,,,,MISTRAL ST intersection,,16328
24035000,HARRISON ST,20TH ST,,,,20TH ST intersection,,16330
23998000,HARRISON ST,21ST ST,,,,21ST ST intersection,,16332
23994000,HARRISON ST,22ND ST,,,,22ND ST intersection,,16334
23979000,HARRISON ST,23RD ST,,,,23RD ST intersection,,16336
23978000,HARRISON ST,24TH ST,,,,24TH ST intersection,,16338
23975000,HARRISON ST,25TH ST,,,,25TH ST intersection,,16340
21174000,HARRISON ST,26TH ST,,,,26TH ST intersection,,16342
54056000,HARRISON ST,KAMILLE CT,,,,KAMILLE CT intersection,,16344
21173000,HARRISON ST,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,16346
21171000,HARRISON ST,PRECITA AVE,,,,PRECITA AVE intersection,,16348
21168000,HARRISON ST,PRECITA AVE,,,,PRECITA AVE intersection,,16349
21166000,HARRISON ST,NORWICH ST,,,,NORWICH ST intersection,,16351
51869000,HARRISON ST,END,,,,END intersection,,16353
52213000,HARRISON ST,END,,,,END intersection,,16355
21150000,HARRISON ST,RIPLEY ST,,,,RIPLEY ST intersection,,16357
21954000,HARRY ST,LAIDLEY ST \ NOE ST,,,,LAIDLEY ST \ NOE ST intersection,,16358
33370000,HARRY ST,BEACON ST,,,,BEACON ST intersection,,16360
25793000,HARTFORD ST,17TH ST,,,,17TH ST intersection,,16361
25792000,HARTFORD ST,18TH ST,,,,18TH ST intersection,,16363
25788000,HARTFORD ST,19TH ST,,,,19TH ST intersection,,16365
25789000,HARTFORD ST,20TH ST,,,,20TH ST intersection,,16367
21002000,HARVARD ST,SILVER AVE,,,,SILVER AVE intersection,,16368
20989000,HARVARD ST,PIOCHE ST,,,,PIOCHE ST intersection,,16370
20982000,HARVARD ST,SILLIMAN ST,,,,SILLIMAN ST intersection,,16372
20986000,HARVARD ST,FELTON ST,,,,FELTON ST intersection,,16374
20979000,HARVARD ST,BURROWS ST,,,,BURROWS ST intersection,,16376
20948000,HARVARD ST,BACON ST,,,,BACON ST intersection,,16378
25543000,HASTINGS TER,HYDE ST,,,,HYDE ST intersection,,16379
50107000,HASTINGS TER,END,,,,END intersection,,16381
26170000,HATTIE ST,CORBETT AVE,,,,CORBETT AVE intersection,,16382
26165000,HATTIE ST,MARKET ST,,,,MARKET ST intersection,,16384
26160000,HATTIE ST,18TH ST \ STORRIE ST,,,,18TH ST \ STORRIE ST intersection,,16386
22116000,HAVELOCK ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,16387
22119000,HAVELOCK ST,ARAGO ST,,,,ARAGO ST intersection,,16389
22143000,HAVELOCK ST,ARCO WAY,,,,ARCO WAY intersection,,16391
50621000,HAVELOCK ST,END,,,,END intersection,,16393
22149000,HAVELOCK ST,CIRCULAR AVE,,,,CIRCULAR AVE intersection,,16394
22150000,HAVELOCK ST,EDNA ST,,,,EDNA ST intersection,,16396
50622000,HAVELOCK ST,WEST RD,,,,WEST RD intersection,,16398
25510000,HAVENS ST,LEAVENWORTH ST,,,,LEAVENWORTH ST intersection,,16399
50106000,HAVENS ST,END,,,,END intersection,,16401
23303000,HAVENSIDE DR,OCEAN AVE,,,,OCEAN AVE intersection,,16402
23302000,HAVENSIDE DR,EUCALYPTUS DR,,,,EUCALYPTUS DR intersection,,16404
51833000,HAWES ST,INDIA ST,,,,INDIA ST intersection,,16405
52410000,HAWES ST,EVANS AVE,,,,EVANS AVE intersection,,16407
51851000,HAWES ST,FAIRFAX AVE,,,,FAIRFAX AVE intersection,,16409
51852000,HAWES ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,16411
20164000,HAWES ST,HUDSON AVE \ HUNTERS POINT BLVD,,,,HUDSON AVE \ HUNTERS POINT BLVD intersection,,16412
20162000,HAWES ST,INNES AVE,,,,INNES AVE intersection,,16414
20118000,HAWES ST,PALOU AVE,,,,PALOU AVE intersection,,16415
20117000,HAWES ST,QUESADA AVE,,,,QUESADA AVE intersection,,16417
20120000,HAWES ST,REVERE AVE,,,,REVERE AVE intersection,,16419
20119000,HAWES ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,16421
20121000,HAWES ST,THOMAS AVE,,,,THOMAS AVE intersection,,16423
20123000,HAWES ST,UNDERWOOD AVE,,,,UNDERWOOD AVE intersection,,16425
20122000,HAWES ST,VAN DYKE AVE,,,,VAN DYKE AVE intersection,,16427
33165000,HAWES ST,WALLACE AVE,,,,WALLACE AVE intersection,,16429
33164000,HAWES ST,YOSEMITE AVE,,,,YOSEMITE AVE intersection,,16430
20112000,HAWES ST,ARMSTRONG AVE,,,,ARMSTRONG AVE intersection,,16432
28193000,HAWES ST,BANCROFT AVE,,,,BANCROFT AVE intersection,,16434
